,Unnamed: 0,srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,Label
21,6103,175.45.176.3,0,149.171.126.14,0,ospf,INT,1.217401,3024,0,254,0,0,0,-,19162.13281,0.0,28,0,0,0,0,0,108,0,0,0,50.221277,0.0,1421927643,1421927645,45.088926,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,2,2,2,2,2,2,2,DoS,1
22,6109,175.45.176.3,0,149.171.126.14,0,ospf,INT,1.217401,3024,0,254,0,0,0,-,19162.13281,0.0,28,0,0,0,0,0,108,0,0,0,50.221277,0.0,1421927643,1421927645,45.088926,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,2,2,2,2,2,2,2,DoS,1
23,6112,175.45.176.3,43831,149.171.126.13,80,tcp,FIN,0.228079,784,918,62,252,2,2,http,24763.34961,28200.75391,10,8,255,255,2460627996,3771542246,78,115,1,56,1291.929576,47.433984,1421927646,1421927646,25.342111,30.421143,0.034142,0.0141,0.020042,0,1,1.0,0.0,0,1,1,1,1,1,1,1,DoS,1
24,6253,175.45.176.2,17498,149.171.126.19,110,tcp,FIN,54.265602,70256,14655417,62,252,7,5483,pop3,10351.01367,2160349.25,1632,10970,255,255,3619082811,2061571913,43,1336,0,0,2112.116277,800.384533,1421927598,1421927652,33.27136,4.946539,0.051315,0.006296,0.045019,0,1,0.0,0.0,0,1,1,1,1,1,1,1,DoS,1
25,7276,175.45.176.2,22471,149.171.126.18,445,tcp,FIN,1.689867,2084,1746,254,252,5,4,-,9250.431641,7579.294434,16,12,255,255,2683699961,2262912505,130,146,0,0,5412.10745,168.567234,1421927693,1421927695,109.059269,139.494094,0.22847,0.15542,0.07305,0,1,0.0,0.0,0,1,2,1,1,1,1,1,DoS,1
26,7357,175.45.176.2,24631,149.171.126.10,143,tcp,FIN,1.604427,1010,3292,62,252,6,7,-,4756.838379,15507.09375,18,18,255,255,2907754331,3301535330,56,183,0,0,4598.303494,100.502203,1421927697,1421927699,94.378059,83.915,0.179419,0.100078,0.079341,0,1,0.0,0.0,0,3,1,1,2,1,1,1,DoS,1
27,7506,175.45.176.1,2442,149.171.126.16,554,udp,INT,1.2e-05,748,0,254,0,0,0,-,249333328.0,0.0,2,0,0,0,0,0,374,0,0,0,0.0,0.0,1421927705,1421927705,0.012,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,1,1,1,1,1,1,1,DoS,1
28,7771,175.45.176.2,49109,149.171.126.16,443,tcp,FIN,0.502923,1288,2060,254,252,3,3,ssl,18786.17578,29491.5918,12,10,255,255,244675366,3789017958,107,206,0,0,2233.253288,87.517508,1421927716,1421927716,45.720271,54.176445,0.08107,0.014655,0.066415,0,1,0.0,0.0,0,1,1,1,1,1,1,1,DoS,1
29,7805,175.45.176.0,43762,149.171.126.11,554,tcp,FIN,0.235139,484,268,254,252,2,1,-,14833.7793,7621.024414,10,6,255,255,2305982204,915379077,48,45,0,0,1221.247755,65.863406,1421927717,1421927717,23.509778,42.608199,0.074607,0.022086,0.052521,0,1,0.0,0.0,0,1,1,1,1,1,1,1,DoS,1
30,7898,175.45.176.3,22967,149.171.126.14,80,tcp,FIN,0.259298,1066,20916,62,252,2,8,http,30173.77734,613070.6875,12,20,255,255,2360653801,1597928340,89,1046,1,9802,1269.576683,1421.602676,1421927722,1421927722,23.572545,12.475789,0.060491,0.011303,0.049188,0,1,1.0,0.0,0,1,2,1,1,1,1,1,DoS,1
31,8357,175.45.176.1,62046,149.171.126.14,25,tcp,FIN,1.100093,50597,1972,254,252,26,8,smtp,361605.7813,13795.19727,58,26,255,255,1861929621,1867825329,872,76,0,0,1470.043818,55.278383,1421927741,1421927742,19.299877,43.755801,0.049921,0.006138,0.043783,0,1,0.0,0.0,0,1,1,1,1,1,1,1,DoS,1
32,8625,175.45.176.3,55429,149.171.126.16,80,tcp,FIN,0.20859,804,1286,62,252,2,2,http,27767.39063,43185.19531,10,8,255,255,826831132,3238540770,80,161,1,223,1195.638966,35.440965,1421927754,1421927755,23.039667,22.442143,0.08664,0.051484,0.035156,0,1,1.0,0.0,0,1,1,1,1,1,1,1,DoS,1
33,8866,175.45.176.3,19955,149.171.126.18,80,tcp,FIN,0.723544,1430,118304,62,252,2,45,http,15092.37891,1294141.0,22,94,255,255,3099039157,24706655,65,1259,1,57023,1641.467983,866.127179,1421927764,1421927765,34.454476,7.056882,0.099755,0.048931,0.050824,0,1,1.0,0.0,0,1,1,1,1,1,1,1,DoS,1
34,9583,175.45.176.3,46560,149.171.126.16,80,tcp,FIN,2.823146,1308,1656,254,252,4,2,http,3397.62793,4106.057617,12,8,255,255,1223320966,707863834,109,207,1,401,21192.12623,883.177125,1421927793,1421927795,256.649625,391.488281,0.193077,0.081922,0.111155,0,1,1.0,0.0,0,1,2,1,1,1,1,1,DoS,1
35,11072,175.45.176.3,10071,149.171.126.19,80,tcp,FIN,0.568629,1122,268,254,252,2,1,http,14209.61621,3151.439453,10,6,255,255,3023853906,2464171722,112,45,1,0,3157.582061,153.465266,1421927859,1421927859,63.077667,98.314602,0.164035,0.077046,0.086989,0,1,1.0,0.0,0,1,1,1,1,1,1,1,DoS,1
36,11265,175.45.176.0,1405,149.171.126.11,80,tcp,FIN,1.575753,912,2170,62,252,2,2,http,4168.166016,9915.259766,10,10,255,255,1072573829,2786642631,91,217,0,0,11898.17009,254.007359,1421927865,1421927867,175.083667,167.564109,0.148132,0.067518,0.080614,0,1,0.0,0.0,0,1,1,1,2,1,1,1,DoS,1
37,11681,175.45.176.3,45742,149.171.126.10,80,tcp,FIN,7.622637,3770,474851,62,252,2,177,http,3905.210449,496967.125,76,358,255,255,3551327932,3227371624,50,1326,1,0,4948.582425,2423.221489,1421927878,1421927885,101.635024,21.074872,0.256003,0.098905,0.157098,0,1,1.0,0.0,0,2,2,1,1,1,1,1,DoS,1
38,12058,175.45.176.2,22583,149.171.126.17,80,tcp,FIN,1.622581,484,354,254,252,2,1,http,2149.661621,1528.429077,10,8,255,255,3296175197,2351268300,48,44,0,0,10722.41251,447.972844,1421927901,1421927902,173.078889,224.722281,0.138446,0.049523,0.088923,0,1,0.0,0.0,0,2,1,1,1,1,1,1,DoS,1
39,12059,175.45.176.0,39090,149.171.126.10,80,tcp,FIN,1.418332,908,2778,62,252,2,2,http,4613.870605,14106.71191,10,10,255,255,2864647023,1380300657,91,278,0,0,9138.817856,276.877875,1421927901,1421927902,157.592444,152.699781,0.205591,0.04334,0.162251,0,1,0.0,0.0,0,1,1,1,1,1,1,1,DoS,1
40,12175,175.45.176.2,63937,149.171.126.16,80,tcp,FIN,0.78944,780,902,62,252,2,2,http,7113.903809,8005.675293,10,8,255,255,376394585,3358889124,78,113,0,0,4364.198186,156.903891,1421927906,1421927907,87.715556,96.74843,0.216508,0.111618,0.10489,0,1,0.0,0.0,0,2,1,1,1,1,1,1,DoS,1
41,12876,175.45.176.3,59980,149.171.126.10,6667,tcp,FIN,2.008962,928,960,62,252,4,4,irc,3432.618652,3552.083252,14,14,255,255,3050349420,473219163,66,69,0,0,8312.751537,207.832219,1421927931,1421927933,154.535543,139.805391,0.246341,0.144868,0.101473,0,1,0.0,0.0,0,1,1,1,1,1,1,1,DoS,1
42,12928,175.45.176.1,9227,149.171.126.14,139,tcp,FIN,2.523403,2544,2226,254,252,7,6,-,7662.668457,6667.1875,20,18,255,255,1165589013,2712380454,127,124,0,0,6873.189491,162.786391,1421927932,1421927935,132.802365,138.236125,0.293293,0.173388,0.119905,0,1,0.0,0.0,0,9,3,2,3,1,1,2,DoS,1
43,13081,175.45.176.1,8803,149.171.126.13,80,tcp,FIN,1.413596,798,8488,62,252,2,4,http,4069.054932,44606.80469,10,14,255,255,2295454418,3993875346,80,606,0,0,8676.557766,7732.559799,1421927940,1421927941,157.066222,97.639998,0.234315,0.14358,0.090735,0,1,0.0,0.0,0,1,1,2,2,1,1,1,DoS,1
44,13502,175.45.176.1,44675,149.171.126.13,5060,udp,INT,1.2e-05,702,0,254,0,0,0,-,233999984.0,0.0,2,0,0,0,0,0,351,0,0,0,0.0,0.0,1421927955,1421927955,0.012,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,5,4,2,3,1,1,1,DoS,1
45,14257,175.45.176.0,17860,149.171.126.19,25,tcp,FIN,3.096501,2889,1968,254,252,8,8,smtp,7125.461914,4854.51123,22,22,255,255,604514814,477160606,131,89,0,0,7936.574541,204.366547,1421927978,1421927982,147.44724,143.112375,0.175032,0.091127,0.083905,0,1,0.0,0.0,0,1,1,1,1,1,1,1,DoS,1
46,14306,175.45.176.0,22857,149.171.126.10,4322,tcp,FIN,1.276495,1100,354,254,252,2,1,-,6204.489746,1942.820068,10,8,255,255,248727432,1595066701,110,44,0,0,7991.626009,280.097812,1421927983,1421927984,141.819444,169.938578,0.181085,0.086915,0.09417,0,1,0.0,0.0,0,2,1,1,1,1,1,1,DoS,1
47,14355,175.45.176.3,6151,149.171.126.14,80,tcp,FIN,1.380353,850,1692,254,252,2,2,http,4433.648438,8826.727539,10,10,255,255,4273913625,3793127063,85,169,0,0,8498.477219,279.941531,1421927984,1421927986,153.204778,145.985,0.192956,0.066487,0.126469,0,1,0.0,0.0,0,3,3,1,1,1,1,1,DoS,1
48,14629,175.45.176.1,22057,149.171.126.13,25,tcp,FIN,3.131626,19691,1834,254,252,14,8,smtp,48823.19922,4490.958008,34,24,255,255,2152332142,597971856,579,76,0,0,5949.637324,168.270328,1421927992,1421927995,94.892063,128.141258,0.280771,0.184375,0.096396,0,1,0.0,0.0,0,1,1,1,2,1,1,1,DoS,1
49,15119,175.45.176.0,31895,149.171.126.16,143,tcp,FIN,1.552938,6776,614,254,252,5,3,-,32727.64258,2848.793701,16,10,255,255,2223184477,4243485089,424,61,0,0,6976.841128,228.539031,1421928009,1421928011,100.7926,160.101781,0.201723,0.112021,0.089702,0,1,0.0,0.0,0,2,1,1,1,1,1,1,DoS,1
50,15284,175.45.176.0,16628,149.171.126.13,80,tcp,FIN,2.050333,814,354,62,252,2,1,http,2860.023193,1209.55957,10,8,255,255,2646081078,3514335919,81,44,0,0,12938.94477,424.127125,1421928014,1421928016,223.322667,276.664438,0.196575,0.113681,0.082894,0,1,0.0,0.0,0,1,2,1,1,1,1,1,DoS,1
51,15946,175.45.176.1,0,149.171.126.11,0,ospf,INT,24.602036,1280,0,254,0,0,0,-,395.414429,0.0,20,0,0,0,0,0,64,0,0,0,1548.602125,0.0,1421928014,1421928038,1294.844125,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,4,3,2,3,2,2,2,DoS,1
52,15949,175.45.176.1,0,149.171.126.11,0,ospf,INT,24.602036,1280,0,254,0,0,0,-,395.414429,0.0,20,0,0,0,0,0,64,0,0,0,1548.602125,0.0,1421928014,1421928038,1294.844125,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,4,3,2,3,2,2,2,DoS,1
53,15957,175.45.176.3,0,149.171.126.16,0,udp,INT,2e-06,2634,0,254,0,0,0,-,5268000256.0,0.0,2,0,0,0,0,0,1317,0,0,0,0.0,0.0,1421928038,1421928038,0.002,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,3,2,1,2,1,1,1,DoS,1
54,15958,175.45.176.3,0,149.171.126.16,0,udp,INT,2e-06,2634,0,254,0,0,0,-,5268000256.0,0.0,2,0,0,0,0,0,1317,0,0,0,0.0,0.0,1421928038,1421928038,0.002,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,3,2,1,2,1,1,1,DoS,1
55,15959,175.45.176.3,0,149.171.126.16,0,udp,INT,2e-06,2634,0,254,0,0,0,-,5268000256.0,0.0,2,0,0,0,0,0,1317,0,0,0,0.0,0.0,1421928038,1421928038,0.002,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,3,2,1,2,1,1,1,DoS,1
56,16486,175.45.176.2,13037,149.171.126.14,80,tcp,FIN,1.365737,770,1258,62,252,2,2,http,4059.346924,6636.709961,10,10,255,255,3050388291,949510091,77,126,0,0,8278.64182,263.566688,1421928056,1421928057,151.748556,137.902672,0.228894,0.12367,0.105224,0,1,0.0,0.0,0,2,2,1,3,2,1,1,DoS,1
57,16798,175.45.176.3,7491,149.171.126.12,80,tcp,FIN,0.729269,820,1284,62,252,2,2,http,8095.777832,12330.15527,10,8,255,255,262032754,3746102274,82,161,1,232,4340.266025,141.550656,1421928068,1421928068,81.029889,92.187141,0.202461,0.083301,0.11916,0,1,1.0,0.0,0,4,1,1,1,1,1,1,DoS,1
58,17511,175.45.176.1,19836,149.171.126.15,80,tcp,FIN,2.571533,1570,54838,62,252,3,21,http,4613.590332,167047.4375,18,48,255,255,2358657037,118994921,87,1142,0,0,8731.207978,5956.972671,1421928089,1421928092,151.266647,49.977809,0.252797,0.125887,0.12691,0,1,0.0,0.0,0,1,1,1,2,1,1,1,DoS,1
59,17774,175.45.176.0,42480,149.171.126.14,445,tcp,FIN,1.741761,740,354,254,252,2,1,-,3058.973145,1423.846313,10,8,255,255,234214381,142735690,74,44,0,0,10754.87163,386.061094,1421928099,1421928101,186.538111,237.651719,0.250726,0.078192,0.172534,0,1,0.0,0.0,0,4,2,2,2,1,1,1,DoS,1
60,17898,175.45.176.1,17528,149.171.126.12,8028,tcp,FIN,8.846416,754595,4224,254,252,269,1,-,681141.8125,3780.966064,544,98,255,255,350921338,3950259,1387,43,0,0,1911.641138,112.278414,1421928096,1421928105,16.227794,89.731547,0.216762,0.142446,0.074316,0,1,0.0,0.0,0,4,1,1,2,1,1,1,DoS,1
61,17978,175.45.176.2,44178,149.171.126.19,445,tcp,FIN,2.920938,2962,2648,254,252,8,8,-,7745.457031,6923.803223,22,22,255,255,2745787990,37755402,135,120,0,0,7411.250755,168.471656,1421928106,1421928108,139.092292,133.598813,0.202882,0.114433,0.088449,0,1,0.0,0.0,0,3,1,1,2,1,1,1,DoS,1
62,18031,175.45.176.2,34470,149.171.126.11,1478,udp,INT,1.1e-05,170,0,254,0,0,0,-,61818180.0,0.0,2,0,0,0,0,0,85,0,0,0,0.0,0.0,1421928110,1421928110,0.011,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,2,2,1,1,1,1,1,DoS,1
63,18331,175.45.176.3,33432,149.171.126.14,53,tcp,FIN,0.529554,660,268,254,252,2,1,dns,8973.588867,3383.979736,10,6,255,255,2429152679,3648792468,66,45,0,0,2742.567647,128.498094,1421928121,1421928121,52.719333,90.898797,0.165728,0.075058,0.09067,0,1,0.0,0.0,0,1,1,2,2,1,1,2,DoS,1
64,19090,175.45.176.3,42392,149.171.126.11,80,tcp,FIN,1.093913,580,354,254,252,2,1,http,3817.488281,2267.09082,10,8,255,255,2108629850,2647757047,58,44,1,0,6188.685146,277.566844,1421928145,1421928146,121.545889,137.131422,0.301413,0.133333,0.16808,0,1,1.0,0.0,0,1,1,2,2,2,1,1,DoS,1
65,19091,175.45.176.0,43555,149.171.126.11,80,tcp,FIN,1.172867,810,1088,62,252,2,2,http,4972.431152,6684.475098,10,10,255,255,3047720470,640058350,81,109,1,68,7633.614943,210.976203,1421928146,1421928147,130.318556,121.568,0.238328,0.078148,0.16018,0,1,1.0,0.0,0,1,1,1,1,1,1,1,DoS,1
66,19348,175.45.176.0,4605,149.171.126.14,23,tcp,FIN,0.918789,12130,354,254,252,5,1,-,99017.28906,2699.205078,16,8,255,255,2021666189,1584178305,758,44,0,0,4499.785916,175.214156,1421928155,1421928156,56.604999,116.58557,0.181095,0.102688,0.078407,0,1,0.0,0.0,0,1,3,1,1,1,1,1,DoS,1
67,19774,175.45.176.2,23851,149.171.126.13,110,tcp,FIN,4.60005,1742,137036,62,252,7,59,pop3,2951.272217,236367.8594,38,122,255,255,2240724040,2635475097,46,1123,0,0,7517.559836,3844.87228,1421928165,1421928170,124.325676,36.743116,0.239675,0.153635,0.08604,0,1,0.0,0.0,0,1,1,1,1,1,1,1,DoS,1
68,20015,175.45.176.1,31519,149.171.126.11,53,udp,INT,1e-05,126,0,254,0,0,0,dns,50400000.0,0.0,2,0,0,0,0,0,63,0,0,0,0.0,0.0,1421928178,1421928178,0.01,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,1,1,1,2,1,1,1,DoS,1
69,20178,175.45.176.2,34220,149.171.126.12,4433,udp,CON,2.383358,2524,4634,254,60,0,0,-,8002.154785,14779.14746,18,20,0,0,0,0,140,232,0,0,237.033547,172.019375,1421928181,1421928184,140.197531,88.781102,0.0,0.0,0.0,0,3,0.0,0.0,0,1,1,1,1,1,1,1,DoS,1
70,20235,175.45.176.3,63657,149.171.126.11,80,tcp,FIN,0.375443,952,268,254,252,2,1,http,18261.09375,4773.027832,10,6,255,255,89042444,2615891850,95,45,0,0,2114.411762,78.522312,1421928186,1421928187,38.195222,59.452801,0.172213,0.078169,0.094044,0,1,0.0,0.0,0,1,2,1,1,1,1,1,DoS,1
71,20406,175.45.176.1,44676,149.171.126.11,445,tcp,FIN,2.037476,3424,3172,254,252,9,9,-,12886.53223,11936.33691,24,24,255,255,674346073,2147518334,143,132,0,0,4465.579516,115.289438,1421928190,1421928192,88.563912,86.655438,0.114743,0.044394,0.070349,0,1,0.0,0.0,0,9,2,1,2,1,1,1,DoS,1
72,21149,175.45.176.2,34921,149.171.126.15,80,tcp,FIN,0.59978,20266,354,254,252,8,1,http,258027.9375,4134.849121,22,8,255,255,2662316622,54931336,921,44,1,0,2069.344393,130.887078,1421928219,1421928219,25.425144,73.410711,0.164885,0.085895,0.07899,0,1,1.0,0.0,0,1,1,1,1,1,1,1,DoS,1
73,23706,175.45.176.2,17791,149.171.126.11,548,tcp,CON,59.908634,352990,16952,254,252,422,1,-,47081.42578,2257.97168,846,394,255,255,380608697,930012124,417,43,0,0,3337.288658,157.091953,1421928248,1421928307,70.897678,152.365859,0.072579,0.028824,0.043755,0,4,0.0,0.0,0,1,1,1,1,1,1,1,DoS,1
74,25278,175.45.176.2,17791,149.171.126.11,548,tcp,CON,59.909866,320116,16340,254,252,381,0,-,42690.39844,2176.202393,764,380,255,255,380768257,930012124,419,43,0,0,3795.374377,165.401891,1421928308,1421928367,78.596627,157.915641,0.072579,0.028824,0.043755,0,4,0.0,0.0,0,1,1,1,1,1,1,1,DoS,1
75,25489,175.45.176.2,4706,149.171.126.13,80,tcp,FIN,0.674345,822,13010,62,252,2,5,http,8778.888672,144697.4375,10,16,255,255,1126085330,170718307,82,813,1,0,3707.509821,3577.963005,1421928374,1421928375,74.927222,39.633799,0.162822,0.072213,0.090609,0,1,1.0,0.0,0,2,1,1,1,1,1,1,DoS,1
76,26398,175.45.176.1,36944,149.171.126.11,80,tcp,FIN,1.27802,886,268,254,252,2,1,http,4995.227051,1402.168945,10,6,255,255,2775379072,1044182511,89,45,0,0,6900.3015,322.459313,1421928414,1421928415,137.307333,222.119203,0.299129,0.167416,0.131713,0,1,0.0,0.0,0,1,1,1,1,1,1,1,DoS,1
77,26725,175.45.176.2,17791,149.171.126.11,548,tcp,CON,59.922993,315088,16426,254,252,375,0,-,42009.78516,2187.207275,752,382,255,255,380913035,930012124,419,43,0,0,3834.993254,164.064219,1421928368,1421928428,79.977383,157.480141,0.072579,0.028824,0.043755,0,4,0.0,0.0,0,3,2,1,2,1,1,1,DoS,1
78,26864,175.45.176.1,4281,149.171.126.11,445,tcp,FIN,0.540911,364,664,62,252,1,2,-,4717.966309,8592.910156,8,8,255,255,2018064200,3568564387,46,83,0,0,4226.658789,92.744086,1421928434,1421928435,77.256571,67.296711,0.151762,0.06983,0.081932,0,1,0.0,0.0,0,4,1,1,2,1,1,1,DoS,1
